============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= Ne(100 MeV) ==> Carbon Tetrafluoride (IC(  400 mm) ========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  210 10 .3052105E+08   4000000E+03 -.3952E+07 -.1179E+08   .9999880  .0041358 -.0026268
T  211 10 .3057116E+08   4000000E+03  .2213E+07 -.2023E+07   .9999333  .0114345  .0015975
T  212 10 .3026109E+08   4000000E+03  .2578E+08  .4200E+07   .9999756  .0060118  .0035702
T  213 10 .3081379E+08   4000000E+03  .3793E+08  .1815E+08   .9994643  .0280752  .0168188
T  214 10 .3073772E+08   4000000E+03 -.1221E+08  .1070E+08   .9999273 -.0115532  .0034439
T  215 10 .3046286E+08   4000000E+03 -.2795E+08 -.1577E+08   .9998193 -.0117640 -.0149327
T  216 10 .3029274E+08   4000000E+03  .2324E+07 -.5842E+07   .9999917  .0010518  .0039250
T  217 10 .3023610E+08   4000000E+03  .1028E+08 -.3274E+07   .9999334  .0013456 -.0114587
T  218 10 .3110081E+08   4000000E+03  .1940E+08 -.2002E+08   .9999324  .0082606 -.0081861
T  219 10 .3127725E+08   4000000E+03 -.2522E+08  .3886E+08   .9999593 -.0052604  .0073352
T  220 10 .3134084E+08   4000000E+03  .1975E+08  .2102E+08   .9998605  .0059788  .0155958
T  221 10 .3028778E+08   4000000E+03 -.1860E+08 -.3303E+07   .9996990 -.0172420 -.0174553
T  222 10 .3109963E+08   4000000E+03 -.3803E+07  .5200E+07   .9999984  .0014929  .0009537
T  223 10 .3078856E+08   4000000E+03 -.7526E+07  .1247E+08   .9998495  .0067419  .0159845
T  224 10 .3021297E+08   4000000E+03  .4046E+08 -.9984E+07   .9995074  .0220240 -.0223582
T  225 10 .3049949E+08   4000000E+03  .5397E+07  .2502E+08   .9994869  .0103802  .0303001
T  226 10 .3028350E+08   4000000E+03 -.6861E+07  .1685E+08   .9996775  .0009895  .0253756
T  227 10 .3023536E+08   4000000E+03  .5674E+07 -.1594E+08   .9999102  .0092424 -.0097043
T  228 10 .3041260E+08   4000000E+03 -.3501E+08  .2777E+08   .9997637 -.0194969  .0096171
T  229 10 .3048592E+08   4000000E+03  .1369E+08 -.1380E+08   .9999122  .0109364 -.0074883
T  230 10 .3045221E+08   4000000E+03 -.3824E+08 -.1498E+08   .9998601 -.0139905 -.0091716
T  231 10 .3057035E+08   4000000E+03  .7638E+07  .1709E+08   .9998735  .0156292  .0029610
T  232 10 .2988319E+08   4000000E+03  .1683E+08  .1676E+08   .9999979 -.0008759 -.0018363
T  233 10 .3073847E+08   4000000E+03 -.5110E+08 -.1484E+08   .9996203 -.0275491 -.0006034
T  234 10 .3123009E+08   4000000E+03 -.5670E+07  .5092E+07   .9999748  .0018720  .0068484
T  235 10 .3081413E+08   4000000E+03 -.1825E+08 -.2782E+08   .9998742 -.0086294 -.0133097
T  236 10 .3075999E+08   4000000E+03  .1368E+08  .2585E+08   .9999695  .0063714  .0045070
T  237 10 .3088904E+08   4000000E+03  .2758E+07  .1044E+08   .9999283  .0010707  .0119269
T  238 10 .3051949E+08   4000000E+03  .3005E+08 -.3597E+08   .9997482  .0202659 -.0096382
T  239 10 .3060118E+08   4000000E+03 -.3907E+08 -.4039E+08   .9997567 -.0167534 -.0143462
T  240 10 .3053541E+08   4000000E+03 -.3612E+08  .1509E+08   .9997837 -.0191091  .0082058
T  241 10 .3012926E+08   4000000E+03 -.1973E+07  .8173E+07   .9999493  .0009056  .0100287
T  242 10 .3079097E+08   4000000E+03  .3341E+07  .2616E+08   .9999840 -.0044602  .0034809
T  243 10 .3085277E+08   4000000E+03 -.9086E+07  .8315E+07   .9998741 -.0148333  .0056296
T  244 10 .3072343E+08   4000000E+03 -.3209E+08  .4261E+07   .9998976 -.0134674  .0048399
T  245 10 .3018766E+08   4000000E+03 -.2744E+07  .2428E+07   .9999728  .0057084  .0046806
T  246 10 .3058327E+08   4000000E+03 -.6803E+07 -.2721E+08   .9998991 -.0043345 -.0135294
T  247 10 .3012387E+08   4000000E+03 -.3011E+08  .8116E+06   .9999796  .0021274  .0060188
T  248 10 .3058594E+08   4000000E+03  .5658E+07  .2788E+08   .9996868 -.0185768  .0167711
T  249 10 .3120679E+08   4000000E+03  .8272E+07 -.3151E+08   .9998479 -.0050738 -.0166892
T  250 10 .3080468E+08   4000000E+03 -.2755E+08 -.2642E+08   .9998576 -.0119185 -.0119428
T  251 10 .3050441E+08   4000000E+03  .4026E+08  .4778E+08   .9999417  .0066434  .0085080
T  252 10 .3040036E+08   4000000E+03 -.1893E+08  .7524E+07   .9999800 -.0021371  .0059513
T  253 10 .3043327E+08   4000000E+03 -.1052E+08 -.1036E+08   .9996537 -.0204602 -.0165514
T  254 10 .3077328E+08   4000000E+03  .1101E+08  .2620E+07   .9998938 -.0024915  .0143563
T  255 10 .3061767E+08   4000000E+03  .1065E+08 -.1026E+08   .9999932 -.0013331 -.0034380
T  256 10 .3045015E+08   4000000E+03 -.4529E+08 -.9084E+07   .9997957 -.0201317  .0017990
T  257 10 .3073663E+08   4000000E+03 -.1299E+08  .8391E+08   .9987914  .0176385  .0458760
T  258 10 .3061334E+08   4000000E+03  .1787E+07  .2711E+07   .9999982 -.0017389  .0007870
T  259 10 .3033701E+08   4000000E+03  .6372E+07 -.1150E+08   .9998973  .0136598 -.0043392
T  260 10 .3038169E+08   4000000E+03 -.3606E+08  .4332E+07   .9999523 -.0067388  .0070674
T  261 10 .3077976E+08   4000000E+03  .1917E+08 -.2119E+08   .9999092  .0100697  .0089587
T  262 10 .3062501E+08   4000000E+03  .2728E+07  .3881E+07   .9999862  .0025730  .0045844
T  263 10 .3023151E+08   4000000E+03  .1530E+08 -.3439E+08   .9988587  .0380095 -.0289241
T  264 10 .3063750E+08   4000000E+03 -.2199E+08  .1870E+08   .9997476  .0006113  .0224570
T  265 10 .3070801E+08   4000000E+03 -.1618E+07  .1783E+08   .9999275  .0120368  .0001098
T  266 10 .3124930E+08   4000000E+03  .1654E+08  .5194E+07   .9997685  .0150174  .0154085
T  267 10 .3103598E+08   4000000E+03  .2606E+08 -.1429E+07   .9998629  .0164847  .0015920
T  268 10 .3102232E+08   4000000E+03 -.1277E+07  .4288E+08   .9997748  .0051910  .0205757
T  269 10 .3092993E+08   4000000E+03 -.8801E+07 -.6426E+07   .9999257 -.0120307  .0019439
T  270 10 .3029074E+08   4000000E+03  .2658E+08  .1197E+08   .9998515  .0156455 -.0072301
T  271 10 .3085465E+08   4000000E+03 -.9517E+07  .1238E+08   .9999310 -.0112054 -.0035377
T  272 10 .3085872E+08   4000000E+03 -.3392E+08  .3366E+08   .9996765 -.0124833  .0221614
T  273 10 .3058369E+08   4000000E+03  .2654E+08  .1411E+08   .9999664  .0064175  .0050978
T  274 10 .3107121E+08   4000000E+03 -.5309E+08 -.5136E+08   .9997904 -.0174786 -.0106592
T  275 10 .3050567E+08   4000000E+03  .2178E+08 -.1966E+08   .9999852  .0004322 -.0054252
T  276 10 .3020771E+08   4000000E+03  .4315E+08  .3589E+08   .9999798  .0019664  .0060518
T  277 10 .3014246E+08   4000000E+03  .1958E+08  .5765E+06   .9999843  .0046101  .0031788
T  278 10 .3084888E+08   4000000E+03  .4733E+08  .7804E+08   .9998251  .0072825  .0172239
T  279 10 .3028492E+08   4000000E+03  .1145E+08  .1955E+08   .9999993  .0008254 -.0008799
T  280 10 .2993442E+08   4000000E+03  .3876E+08 -.2993E+08   .9995524  .0229381 -.0192069
T  281 10 .2969476E+08   4000000E+03  .1738E+08 -.1623E+08   .9996661  .0257950 -.0015004
T  282 10 .3039900E+08   4000000E+03 -.7062E+07  .1969E+08   .9999175 -.0059852 -.0113641
T  283 10 .3175499E+08   4000000E+03  .2446E+08  .3410E+07   .9999416  .0091436 -.0057556
T  284 10 .3058219E+08   4000000E+03 -.8247E+06  .1408E+08   .9998104 -.0122621  .0151290
T  285 10 .3065636E+08   4000000E+03  .6719E+07  .3174E+07   .9999777 -.0011888  .0065647
T  286 10 .3083872E+08   4000000E+03  .7965E+08  .8185E+07   .9992857  .0376726 -.0029672
T  287 10 .3086277E+08   4000000E+03  .3005E+07 -.2494E+08   .9999804  .0036429 -.0050883
T  288 10 .3109917E+08   4000000E+03 -.2281E+08  .1564E+08   .9996299 -.0011846  .0271766
T  289 10 .3064382E+08   4000000E+03  .2044E+08 -.4543E+07   .9999381  .0106604 -.0031970
T  290 10 .3102715E+08   4000000E+03  .3515E+08  .2688E+08   .9998651  .0141105  .0084106
T  291 10 .3039561E+08   4000000E+03 -.2994E+07 -.4141E+07   .9999204 -.0079207 -.0098262
T  292 10 .3113254E+08   4000000E+03  .2427E+08 -.5486E+08   .9993373  .0135395 -.0337877
T  293 10 .3053291E+08   4000000E+03  .2211E+08 -.2558E+08   .9995005  .0143614 -.0281511
T  294 10 .3019065E+08   4000000E+03  .4514E+07  .2984E+08   .9998269  .0035087  .0182731
T  295 10 .3044711E+08   4000000E+03 -.2986E+07  .1549E+08   .9999748  .0013514  .0069654
T  296 10 .2970590E+08   4000000E+03 -.1028E+08  .2278E+08   .9999850  .0050593  .0021176
T  297 10 .3069704E+08   4000000E+03 -.4361E+07  .3063E+08   .9998781  .0010311  .0155764
T  298 10 .3045284E+08   4000000E+03  .3086E+08  .1623E+08   .9993109 -.0081524  .0362126
T  299 10 .3083073E+08   4000000E+03  .2910E+08  .1685E+08   .9998942  .0088239  .0115663
T  300 10 .3085065E+08   4000000E+03  .2069E+08 -.3783E+08   .9995977  .0230987 -.0164616
T  301 10 .3090984E+08   4000000E+03 -.1164E+08 -.1913E+08   .9999205 -.0032867 -.0121734
T  302 10 .3031447E+08   4000000E+03 -.1638E+08  .1609E+08   .9954027 -.0889898 -.0354157
T  303 10 .3092838E+08   4000000E+03  .3174E+07 -.3120E+07   .9999023  .0138899 -.0015632
T  304 10 .3097522E+08   4000000E+03 -.4661E+08 -.1551E+08   .9997643 -.0212316 -.0045408
T  305 10 .3096872E+08   4000000E+03  .1778E+08 -.2004E+08   .9999922  .0015843 -.0036094
T  306 10 .2970670E+08   4000000E+03  .6342E+08 -.1598E+08   .9998959  .0115577  .0086390
T  307 10 .2981991E+08   4000000E+03  .2122E+08 -.1893E+08   .9997559 -.0067076 -.0210517
T  308 10 .3090528E+08   4000000E+03  .8869E+07 -.1181E+08   .9998809  .0068343 -.0138395
T  309 10 .3019789E+08   4000000E+03 -.1981E+07  .2120E+08   .9998760  .0021651  .0155948
T  310 10 .3078315E+08   4000000E+03 -.2124E+08 -.1034E+08   .9999514  .0033759  .0092633
T  311 10 .3095347E+08   4000000E+03  .1025E+08  .1903E+08   .9999895  .0016640  .0042715
T  312 10 .3060323E+08   4000000E+03  .4566E+08 -.2000E+08   .9995798  .0283852 -.0058685
T  313 10 .3034763E+08   4000000E+03  .1363E+08  .3924E+07   .9999129 -.0055071  .0119978
T  314 10 .3072498E+08   4000000E+03  .3003E+07 -.7171E+07   .9994628  .0130086 -.0300802
T  315 10 .3046377E+08   4000000E+03  .8734E+06  .2172E+08   .9999993  .0005342 -.0010719
T  316 10 .3037997E+08   4000000E+03  .2224E+06 -.1428E+08   .9999719 -.0023216 -.0071297
T  317 10 .3186512E+08   4000000E+03 -.6510E+07  .2112E+08   .9999850 -.0017514  .0051874
T  318 10 .3042398E+08   4000000E+03 -.8699E+07 -.1627E+08   .9999769 -.0067893 -.0002139
T  319 10 .3012739E+08   4000000E+03  .6365E+07  .1147E+08   .9999334  .0042590  .0107248
T  320 10 .3121775E+08   4000000E+03 -.1247E+08  .2413E+07   .9999647 -.0019129  .0081759
T  321 10 .2987378E+08   4000000E+03 -.3080E+08 -.9155E+07   .9998622 -.0162094  .0035713
T  322 10 .3077934E+08   4000000E+03  .2302E+08 -.4253E+08   .9997184  .0188820 -.0143730
T  323 10 .3051689E+08   4000000E+03  .1745E+08 -.1716E+08   .9999666  .0078956 -.0021125
T  324 10 .3080143E+08   4000000E+03 -.3948E+07 -.1004E+08   .9998613 -.0143595 -.0084423
T  325 10 .2996833E+08   4000000E+03 -.1823E+08  .2275E+07   .9999957 -.0011945  .0026847
T  326 10 .3011189E+08   4000000E+03 -.2327E+08 -.1932E+08   .9998221 -.0160768 -.0098618
T  327 10 .3080831E+08   4000000E+03 -.3626E+08 -.6259E+08   .9998438 -.0074180 -.0160404
T  328 10 .3030915E+08   4000000E+03  .4047E+08 -.1290E+08   .9997304  .0229766 -.0033456
T  329 10 .3053968E+08   4000000E+03 -.4720E+08  .9289E+06   .9998563 -.0169481  .0002277
T  330 10 .3121945E+08   4000000E+03 -.2519E+08 -.2043E+08   .9999478  .0014096 -.0101204
T  331 10 .3018489E+08   4000000E+03 -.1636E+08  .5215E+08   .9997532  .0163614  .0150315
T  332 10 .3046348E+08   4000000E+03 -.1541E+08 -.1518E+08   .9999817  .0012256 -.0059171
T  333 10 .3085043E+08   4000000E+03 -.2016E+07 -.9195E+06   .9999525  .0080424 -.0055092
T  334 10 .3024388E+08   4000000E+03  .1188E+08  .1817E+08   .9999005  .0098717  .0100797
T  335 10 .3082020E+08   4000000E+03  .2563E+08  .2065E+08   .9998286  .0154265  .0102401
T  336 10 .3078366E+08   4000000E+03 -.2519E+08  .4590E+07   .9991258 -.0409278  .0085149
T  337 10 .3098804E+08   4000000E+03 -.9030E+06  .1821E+08   .9999706  .0019816  .0074041
T  338 10 .3042918E+08   4000000E+03  .4035E+06 -.3313E+07   .9999616  .0071200 -.0051144
T  339 10 .3042280E+08   4000000E+03  .1104E+08  .7605E+07   .9999414  .0078681  .0074304
T  340 10 .3050554E+08   4000000E+03 -.2423E+08  .1982E+08   .9998944 -.0064880  .0130064
T  341 10 .3094498E+08   4000000E+03  .1151E+08 -.8608E+07   .9999652  .0078818  .0027472
T  342 10 .3057543E+08   4000000E+03 -.1321E+08 -.2818E+08   .9995847  .0028738 -.0286734
T  343 10 .3043239E+08   4000000E+03 -.1195E+08  .1306E+08   .9999312 -.0115268  .0021561
T  344 10 .3052921E+08   4000000E+03  .5060E+07  .1553E+08   .9999636 -.0037454  .0076675
T  345 10 .3078309E+08   4000000E+03 -.1383E+08  .3240E+08   .9998516 -.0063389  .0160215
T  346 10 .3024682E+08   4000000E+03  .1404E+08  .6745E+08   .9994204  .0065757  .0334016
T  347 10 .3010760E+08   4000000E+03  .1892E+08 -.1897E+08   .9997485  .0148573 -.0167981
T  348 10 .3024733E+08   4000000E+03 -.5790E+08  .2661E+08   .9997956 -.0160704  .0122665
T  349 10 .3059852E+08   4000000E+03  .3214E+08 -.4711E+08   .9997673  .0036384 -.0212645
T  350 10 .3024749E+08   4000000E+03 -.4369E+07  .2545E+08   .9999523 -.0048315  .0084877
T  351 10 .3061469E+08   4000000E+03  .2990E+08  .1994E+06   .9998149  .0077949 -.0175920
T  352 10 .3117934E+08   4000000E+03 -.3068E+07  .7237E+06   .9999766 -.0031959  .0060482
T  353 10 .3053438E+08   4000000E+03  .5056E+07 -.1647E+08   .9997245  .0189013 -.0139155
T  354 10 .3026785E+08   4000000E+03 -.2843E+08  .2673E+07   .9998764 -.0139608  .0072347
T  355 10 .3121082E+08   4000000E+03 -.6644E+07 -.5200E+07   .9996973  .0002460 -.0246010
T  356 10 .3119918E+08   4000000E+03  .6380E+07  .4875E+07   .9999805  .0031740  .0053695
T  357 10 .3062828E+08   4000000E+03 -.1399E+08 -.1852E+08   .9995537  .0296705  .0034604
T  358 10 .3072681E+08   4000000E+03  .1467E+08 -.1550E+08   .9999201  .0123983 -.0024719
T  359 10 .3146447E+08   4000000E+03 -.2678E+08  .2767E+08   .9998902 -.0144962  .0030632
T  360 10 .3110212E+08   4000000E+03  .4225E+08  .2842E+08   .9993622  .0352854 -.0054942
T  361 10 .2972706E+08   4000000E+03 -.1033E+08 -.2508E+07   .9999472  .0015454  .0101618
T  362 10 .3103716E+08   4000000E+03  .2810E+08 -.3146E+08   .9995503  .0283888 -.0096568
T  363 10 .3103430E+08   4000000E+03  .1951E+07 -.8476E+07   .9999943  .0013895 -.0030688
T  364 10 .3036515E+08   4000000E+03  .8472E+07  .3858E+08   .9998514 -.0000468  .0172388
T  365 10 .3089850E+08   4000000E+03  .3221E+07 -.2061E+08   .9998440  .0014665 -.0176008
T  366 10 .3074477E+08   4000000E+03  .1451E+08  .1090E+08   .9998859  .0126814 -.0082139
T  367 10 .3026532E+08   4000000E+03 -.9335E+07 -.2930E+08   .9999148  .0020238 -.0128970
T  368 10 .3051015E+08   4000000E+03 -.2064E+08 -.2767E+08   .9998535 -.0140706 -.0097500
T  369 10 .3069946E+08   4000000E+03 -.5149E+07  .5711E+07   .9998366  .0167262 -.0068572
T  370 10 .3059727E+08   4000000E+03  .3897E+08 -.2713E+08   .9998393  .0100812 -.0148235
T  371 10 .3043522E+08   4000000E+03  .2001E+08 -.8985E+07   .9998849  .0151734  .0001544
T  372 10 .3046274E+08   4000000E+03  .1788E+08  .1349E+08   .9999611 -.0087899  .0007531
T  373 10 .3092509E+08   4000000E+03 -.1494E+08  .1817E+08   .9999690  .0059866  .0051126
T  374 10 .3036243E+08   4000000E+03  .4448E+07 -.1645E+06   .9999592  .0045312 -.0078158
T  375 10 .3095500E+08   4000000E+03 -.3273E+07  .1930E+08   .9999365  .0059234 -.0095850
T  376 10 .3065173E+08   4000000E+03  .2176E+08  .3514E+07   .9999183  .0115328  .0055109
T  377 10 .3010860E+08   4000000E+03 -.2422E+07  .2477E+08   .9997691 -.0170282  .0131033
T  378 10 .3061586E+08   4000000E+03  .1990E+08 -.1467E+08   .9999758  .0069417  .0005220
T  379 10 .3120376E+08   4000000E+03 -.1343E+08  .1535E+08   .9998281 -.0056203  .0176707
T  380 10 .3083445E+08   4000000E+03 -.7590E+07 -.4563E+08   .9999788  .0028850  .0058320
T  381 10 .3080579E+08   4000000E+03 -.5614E+07 -.2361E+08   .9999079 -.0081308 -.0108645
T  382 10 .3074316E+08   4000000E+03  .5909E+07 -.4506E+08   .9997577  .0004460 -.0220091
T  383 10 .3091324E+08   4000000E+03  .6802E+07  .3122E+08   .9998972  .0128193  .0064245
T  384 10 .3095506E+08   4000000E+03  .2310E+07  .2946E+08   .9997106  .0020438  .0239703
T  385 10 .3085121E+08   4000000E+03  .1409E+08  .1465E+08   .9999160 -.0052623  .0118475
T  386 10 .3047807E+08   4000000E+03  .5281E+08  .5335E+07   .9999576  .0080695  .0044450
T  387 10 .3077985E+08   4000000E+03 -.2164E+08  .4137E+07   .9997031 -.0230864  .0077868
T  388 10 .3099497E+08   4000000E+03 -.1518E+08  .1646E+08   .9998300 -.0182385 -.0027021
T  389 10 .3079649E+08   4000000E+03 -.2682E+08  .1518E+08   .9999158 -.0114478  .0061025
T  390 10 .2999191E+08   4000000E+03 -.4060E+08 -.1462E+08   .9996888 -.0239161 -.0071002
T  391 10 .3024962E+08   4000000E+03  .1138E+08  .1957E+07   .9995675  .0293858 -.0011646
T  392 10 .3060371E+08   4000000E+03  .2199E+08 -.1035E+08   .9998609  .0166780  .0000464
T  393 10 .3073759E+08   4000000E+03 -.5133E+06 -.1757E+08   .9999072 -.0135071  .0017970
T  394 10 .3043029E+08   4000000E+03 -.1443E+08  .5196E+08   .9996960 -.0177903  .0170731
T  395 10 .3007783E+08   4000000E+03 -.8546E+08 -.6925E+07   .9990079 -.0425945 -.0129978
T  396 10 .3057299E+08   4000000E+03  .2145E+08  .5144E+08   .9995230  .0038006  .0306473
T  397 10 .3042335E+08   4000000E+03 -.2576E+08 -.3089E+08   .9997258 -.0174423 -.0156227
T  398 10 .3097566E+08   4000000E+03 -.1277E+08  .2729E+08   .9998321 -.0074143  .0167582
T  399 10 .3058013E+08   4000000E+03  .2956E+07 -.9569E+07   .9999964  .0026759 -.0001674
T  400 10 .3052710E+08   4000000E+03  .6820E+06  .3687E+08   .9997498  .0077006  .0210032
T  401 10 .3020232E+08   4000000E+03 -.4096E+07  .2624E+08   .9999474 -.0037928  .0095347
T  402 10 .3094716E+08   4000000E+03  .6595E+07  .2272E+08   .9999548  .0043912  .0084329
T  403 10 .3066456E+08   4000000E+03 -.1496E+08 -.4148E+08   .9998240 -.0157658 -.0101679
T  404 10 .3103129E+08   4000000E+03  .1776E+08 -.4578E+07   .9999350  .0113555 -.0010546
T  405 10 .3025897E+08   4000000E+03  .1348E+08 -.3757E+07   .9999642  .0030189  .0079067
T  406 10 .3020284E+08   4000000E+03 -.2304E+08  .1583E+08   .9999042 -.0041042  .0132160
T  407 10 .3105651E+08   4000000E+03 -.1423E+08 -.1980E+07   .9999001 -.0131312 -.0052213
T  408 10 .3072204E+08   4000000E+03 -.2876E+08  .4577E+07   .9999774 -.0045218 -.0049745
T  409 10 .3107650E+08   4000000E+03  .4034E+07  .4589E+07   .9999955  .0015587  .0025725
T  410 10 .3065423E+08   4000000E+03 -.7519E+07  .7048E+08   .9989990  .0101787  .0435580
T  411 10 .3067184E+08   4000000E+03 -.8705E+07 -.1652E+08   .9995220 -.0237614 -.0197803
T  412 10 .3017094E+08   4000000E+03 -.1397E+08  .3626E+07   .9999872 -.0043381  .0026026
T  413 10 .3039147E+08   4000000E+03  .2165E+06 -.1670E+08   .9999448  .0105058  .0001764
T  414 10 .3106399E+08   4000000E+03 -.4886E+08 -.4150E+08   .9990114 -.0237641 -.0375705
T  415 10 .3112737E+08   4000000E+03  .3151E+08  .1319E+08   .9997339  .0226953  .0041384
T  416 10 .3049352E+08   4000000E+03 -.4634E+07 -.1167E+07   .9999501  .0099947 -.0000093
T  417 10 .3068902E+08   4000000E+03 -.1933E+08  .1045E+08   .9999244 -.0050606  .0112079
T  418 10 .3127100E+08   4000000E+03 -.1153E+08  .8659E+07   .9999835 -.0018894  .0054296
T  419 10 .3034503E+08   4000000E+03  .3512E+08  .3556E+07   .9991051  .0384366  .0176529
T  420 10 .3024710E+08   4000000E+03 -.1873E+08  .2767E+07   .9999146 -.0067068  .0112167
T  421 10 .3045410E+08   4000000E+03  .1700E+08 -.2753E+07   .9997977  .0158261  .0124121
T  422 10 .3089125E+08   4000000E+03 -.2735E+08  .2762E+08   .9997367 -.0200742  .0111183
T  423 10 .3080204E+08   4000000E+03  .3528E+08  .1230E+07   .9998157  .0164454  .0099069
T  424 10 .3125199E+08   4000000E+03 -.1843E+08 -.2705E+08   .9999452 -.0072969 -.0075084
T  425 10 .3050133E+08   4000000E+03  .2787E+08  .1769E+08   .9997896  .0192544  .0070703
T  426 10 .3048607E+08   4000000E+03  .3593E+07 -.2380E+07   .9999670  .0052785 -.0061765
T  427 10 .3028154E+08   4000000E+03 -.2984E+06 -.1071E+08   .9999121 -.0021117 -.0130909
T  428 10 .2996766E+08   4000000E+03  .4550E+08  .4041E+07   .9997193  .0236728 -.0009771
T  429 10 .3081690E+08   4000000E+03 -.7355E+07  .8642E+07   .9999950 -.0018348  .0025624
T  430 10 .3055723E+08   4000000E+03 -.4384E+08  .1988E+08   .9994067 -.0225963  .0259929
T  431 10 .3041301E+08   4000000E+03 -.2004E+08  .2366E+08   .9999536 -.0014797  .0095178
T  432 10 .3071456E+08   4000000E+03  .1534E+07 -.1820E+08   .9999285  .0091160 -.0077352
T  433 10 .3114094E+08   4000000E+03  .1243E+08  .6510E+07   .9998800  .0002321  .0154874
T  434 10 .3017259E+08   4000000E+03 -.3676E+08  .4338E+08   .9987783 -.0119259  .0479548
T  435 10 .3172927E+08   4000000E+03 -.1600E+08  .1956E+08   .9997502 -.0157627  .0158457
T  436 10 .3069932E+08   4000000E+03  .1465E+08  .2027E+07   .9999309  .0108654 -.0044767
T  437 10 .3096374E+08   4000000E+03 -.9086E+07  .1089E+08   .9999613  .0043807  .0076276
T  438 10 .3065555E+08   4000000E+03 -.5163E+07  .1544E+08   .9999468  .0102648 -.0010605
T  439 10 .3046948E+08   4000000E+03  .8139E+08 -.3059E+08   .9991144  .0306588 -.0288165
T  440 10 .3127597E+08   4000000E+03  .5732E+08  .4943E+08   .9991723  .0277928  .0297047
T  441 10 .3036971E+08   4000000E+03 -.4324E+06 -.6441E+07   .9999102  .0117491 -.0064535
T  442 10 .3050282E+08   4000000E+03  .2702E+08  .1262E+07   .9999778  .0049710  .0044422
T  443 10 .3028963E+08   4000000E+03 -.2481E+08 -.5540E+07   .9998020 -.0185127  .0072954
T  444 10 .3045224E+08   4000000E+03  .2473E+07  .1639E+08   .9999564  .0060690  .0070959
T  445 10 .3066812E+08   4000000E+03 -.8802E+07  .4372E+08   .9998395 -.0029148  .0176761
T  446 10 .3092584E+08   4000000E+03  .7954E+07 -.1990E+08   .9998198  .0185774 -.0039096
T  447 10 .3103530E+08   4000000E+03 -.1400E+07 -.1859E+08   .9999644  .0060493 -.0058893
T  448 10 .3049873E+08   4000000E+03  .2225E+08 -.3341E+08   .9999004  .0119979 -.0074326
T  449 10 .3057837E+08   4000000E+03 -.4774E+07 -.3017E+08   .9998313 -.0015536 -.0183031
T  450 10 .3108692E+08   4000000E+03  .2529E+08  .1771E+07   .9995350  .0200298  .0229904
T  451 10 .3100550E+08   4000000E+03  .1204E+08 -.1882E+07   .9999808  .0058151  .0021259
T  452 10 .3039567E+08   4000000E+03 -.8503E+07  .2383E+08   .9998296  .0061171  .0174150
T  453 10 .3061134E+08   4000000E+03  .3476E+07  .1910E+08   .9999472  .0028484  .0098737
T  454 10 .3074403E+08   4000000E+03  .5852E+07  .6952E+07   .9997415  .0028796  .0225515
T  455 10 .3053051E+08   4000000E+03 -.1499E+08 -.2317E+08   .9997696 -.0083141 -.0197908
T  456 10 .3131851E+08   4000000E+03 -.2090E+08 -.1363E+08   .9997766 -.0205788 -.0048135
T  457 10 .3068178E+08   4000000E+03 -.7146E+07  .1984E+08   .9999680  .0029434  .0074353
T  458 10 .3041697E+08   4000000E+03  .3395E+07 -.9477E+07   .9999713  .0009711 -.0075114
T  459 10 .2981290E+08   4000000E+03  .1621E+08  .2950E+08   .9997190  .0127285  .0199999
T  460 10 .3084472E+08   4000000E+03  .2716E+07  .1946E+08   .9998574  .0163694  .0041535
T  461 10 .3074032E+08   4000000E+03  .3208E+08  .1678E+08   .9998263  .0180749  .0045573
T  462 10 .3063543E+08   4000000E+03  .3976E+08 -.6415E+08   .9997455  .0055032 -.0218765
T  463 10 .3059209E+08   4000000E+03  .1662E+08 -.3690E+07   .9996916  .0244736  .0042139
T  464 10 .3005102E+08   4000000E+03  .1206E+08 -.1861E+07   .9999706  .0006032 -.0076429
T  465 10 .3002861E+08   4000000E+03  .1871E+08  .2650E+07   .9999418  .0051410  .0094835
T  466 10 .3049652E+08   4000000E+03 -.6071E+07 -.1577E+08   .9999901 -.0027548 -.0035036
T  467 10 .3092359E+08   4000000E+03  .1762E+08  .1991E+08   .9996900  .0072753  .0238097
T  468 10 .3042351E+08   4000000E+03 -.2402E+08  .6679E+07   .9998634 -.0133673  .0097240
T  469 10 .3029115E+08   4000000E+03  .2318E+08 -.3892E+08   .9998588 -.0025018 -.0166173
T  470 10 .3123384E+08   4000000E+03 -.5497E+08 -.2487E+08   .9996522 -.0194592 -.0178003
T  471 10 .3082858E+08   4000000E+03 -.2778E+08 -.3417E+07   .9999945 -.0031066 -.0011631
