0 0 0 0 0 0  0 0 0 88 1 0
2 0 0 0 0 0  0 0 0 80.87 0 0
1 0 0 0 0 0  0 0 0 11.2949 0 0
0 0 0 0 0 0  0 0 0 88 1 0
2 0 0 0 0 0  0 0 0 74.2683 0 0
1 0 0 0 0 0  0 0 0 17.8965 0 0
0 0 0 0 0 0  0 0 0 88 1 0
2 -6.90936 -11.0715 -16.4303 -13.8316 -26.5521  0 0 0 88.707 0 0
1 0 0 0 0 0  0 0 0 3.45972 0 0
0 0 0 0 0 0  0 0 0 88 1 0
2 0 0 0 0 0  0 0 0 82.4298 0 0
1 0 0 0 0 0  0 0 0 9.73506 0 0
0 0 0 0 0 0  0 0 0 88 1 0
2 -8.3161 -13.7712 -21.8895 -6.54446 0  0 0 0 66.7223 0 0
1 0 0 0 0 0  0 0 0 25.4413 0 0
0 0 0 0 0 0  0 0 0 88 1 0
2 0 0 0 0 0  0 0 0 79.3201 0 0
1 0 0 0 0 0  0 0 0 12.8447 0 0
0 0 0 0 0 0  0 0 0 88 1 0
2 -6.73461 -11.2205 -16.8457 -14.0578 -24.8643  0 0 0 87.1692 0 0
1 0 0 0 0 0  0 0 0 4.99746 0 0
0 0 0 0 0 0  0 0 0 88 1 0
2 0 0 0 0 0  0 0 0 63.8252 1 0
1 0 0 0 0 0  0 0 0 28.3397 0 0
0 0 0 0 0 0  0 0 0 88 1 0
2 -6.99052 -11.5996 -17.1316 -15.2631 -17.9266  0 0 0 83.3033 0 0
1 0 0 0 0 0  0 0 0 8.86151 1 0
0 0 0 0 0 0  0 0 0 88 1 0
2 -6.76236 -11.0805 -16.1565 -14.1795 -24.6832  0 0 0 87.1538 0 0
1 0 0 0 0 0  0 0 0 5.01104 0 0
0 0 0 0 0 0  0 0 0 88 1 0
2 0 0 0 0 0  0 0 0 79.0065 0 0
1 0 0 0 0 0  0 0 0 13.1583 0 0
0 0 0 0 0 0  0 0 0 88 1 0
2 0 0 0 0 0  0 0 0 89.895 1 0
1 0 0 0 0 0  0 0 0 2.27169 0 0
0 0 0 0 0 0  0 0 0 88 1 0
2 -6.73692 -11.0055 -16.5021 -14.446 -23.384  0 0 0 86.2999 0 0
1 0 0 0 0 0  11.5 -3.32873 -355.422 5.86492 0 5.86492
0 0 0 0 0 0  0 0 0 88 1 0
2 -7.2659 -11.515 -17.801 -15.4013 -18.1558  0 0 0 84.3692 0 0
1 0 0 0 0 0  0 0 0 7.79567 0 0
0 0 0 0 0 0  0 0 0 88 1 0
2 0 0 0 0 0  0 0 0 74.5624 0 0
1 0 0 0 0 0  0 0 0 17.6024 0 0
