0 0 0 0 0 0  0 0 0 107 1 0
2 -14.6422 -20.1705 -0.108013 0 0  0 0 0 73.2074 0 0
1 0 0 0 0 0  0 0 0 21.4537 0 0
0 0 0 0 0 0  0 0 0 107 1 0
2 -14.1891 -23.9145 -2.83374 0 0  0 0 0 76.1464 0 0
1 0 0 0 0 0  0 0 0 16.9658 0 0
0 0 0 0 0 0  0 0 0 107 1 0
2 -13.4258 -22.9392 -11.638 0 0  0 0 0 82.9004 0 0
1 0 0 0 0 0  0 0 0 11.9494 0 0
0 0 0 0 0 0  0 0 0 107 1 0
2 -15.2935 -14.3924 0 0 0  0 0 0 73.9794 0 0
1 0 0 0 0 0  0 0 0 16.9579 0 0
0 0 0 0 0 0  0 0 0 107 1 0
2 0 0 0 0 0  0 0 0 58.6305 0 0
1 0 0 0 0 0  0 0 0 18.6131 0 0
0 0 0 0 0 0  0 0 0 107 0 0
0 0 0 0 0 0  0 0 0 107 1 0
2 -12.5077 -21.4938 -21.074 0 0  0 0 0 89.8339 0 0
1 0 0 0 0 0  0 0 0 2.66479 0 0
0 0 0 0 0 0  0 0 0 107 1 0
2 -14.6568 -21.8114 -0.619173 0 0  0 0 0 75.1034 0 0
1 0 0 0 0 0  0 0 0 18.3548 0 0
0 0 0 0 0 0  0 0 0 107 1 0
2 -12.0733 -20.8351 -25.0353 0 0  0 0 0 91.5684 0 0
1 0 0 0 0 0  0 0 0 3.41272 0 0
0 0 0 0 0 0  0 0 0 107 1 0
2 -12.8418 -21.6575 -20.3564 0 0  0 0 0 89.8486 0 0
1 0 0 0 0 0  0 0 0 3.05433 0 0
0 0 0 0 0 0  0 0 0 107 1 0
2 -15.9841 -13.7536 0 0 0  0 0 0 68.6846 0 0
1 0 0 0 0 0  0 0 0 24.5526 0 0
0 0 0 0 0 0  0 0 0 107 1 0
2 -12.7378 -21.8227 -20.3218 0 0  0 0 0 88.749 0 0
1 0 0 0 0 0  -11.5 -1.29284 -350.814 5.73193 0 5.61533
0 0 0 0 0 0  0 0 0 107 1 0
2 -12.5264 -22.3455 -17.2013 0 0  0 0 0 86.913 0 0
1 0 0 0 0 0  11.1903 4.5 -229.595 5.9485 0 5.68553
0 0 0 0 0 0  0 0 0 107 1 0
2 -16.1409 -6.42819 0 0 0  0 0 0 74.9368 0 0
1 0 0 0 0 0  0 0 0 10.0645 0 0
0 0 0 0 0 0  0 0 0 107 1 0
2 -12.6903 -21.2411 -26.3831 0 0  0 0 0 91.9019 0 0
1 0 0 0 0 0  0 0 0 3.33463 0 0
0 0 0 0 0 0  0 0 0 107 1 0
2 -14.7086 -20.5906 -0.196686 0 0  0 0 0 80.8242 0 0
1 0 0 0 0 0  0 0 0 7.05172 0 0
0 0 0 0 0 0  0 0 0 107 1 0
2 -15.4884 -12.0404 0 0 0  0 0 0 70.6258 0 0
1 0 0 0 0 0  0 0 0 20.8241 0 0
0 0 0 0 0 0  0 0 0 107 1 0
2 0 0 0 0 0  0 0 0 80.2178 0 0
1 0 0 0 0 0  0 0 0 14.8706 0 0
0 0 0 0 0 0  0 0 0 107 1 0
2 0 0 0 0 0  0 0 0 66.48 1 0
1 0 0 0 0 0  0 0 0 26.0681 0 0
0 0 0 0 0 0  0 0 0 107 1 0
2 -14.489 -23.3893 -2.00088 0 0  0 0 0 83.1508 0 0
1 0 0 0 0 0  0 0 0 5.42004 0 0
0 0 0 0 0 0  0 0 0 107 1 0
2 -15.8256 -2.79525 0 0 0  0 0 0 68.5126 0 0
1 0 0 0 0 0  0 0 0 20.8113 0 0
0 0 0 0 0 0  0 0 0 107 1 0
2 -12.9602 -22.4714 -19.2006 0 0  0 0 0 89.6233 0 0
1 0 0 0 0 0  0 0 0 3.67013 0 0
0 0 0 0 0 0  0 0 0 107 1 0
2 -12.5181 -22.1656 -18.9785 0 0  0 0 0 86.9365 0 0
1 0 0 0 0 0  0 0 0 6.32877 0 0
0 0 0 0 0 0  0 0 0 107 1 0
2 -15.825 -16.9185 0 0 0  0 0 0 80.1208 0 0
1 0 0 0 0 0  0 0 0 7.04667 0 0
0 0 0 0 0 0  0 0 0 107 1 0
2 -14.4112 -21.6724 -0.527657 0 0  0 0 0 81.771 0 0
