0 0 0 0 0 0 0  0 0 0 107 1 0
2 -10.6653 -11.9913 -20.8613 -5.1703 0 0  0 0 0 71.5243 0 0
1 0 0 0 0 0 0  0 0 0 23.1361 0 0
0 0 0 0 0 0 0  0 0 0 107 1 0
2 -10.2782 -11.0661 -19.336 -16.4621 0 0  0 0 0 79.1694 0 0
1 0 0 0 0 0 0  0 0 0 14.2537 0 0
0 0 0 0 0 0 0  0 0 0 107 1 0
2 -10.0977 -9.97823 -17.1433 -26.5172 -1.11233 0  0 0 0 84.2147 0 0
1 0 0 0 0 0 0  0 0 0 9.9035 0 0
0 0 0 0 0 0 0  0 0 0 107 1 0
2 -8.71347 -9.36972 -16.1441 -25.6089 -12.2978 0  0 0 0 91.8002 0 0
1 0 0 0 0 0 0  0 0 0 1.96508 0 0
0 0 0 0 0 0 0  0 0 0 107 1 0
2 -10.733 -12.4934 -20.8839 -2.46124 0 0  0 0 0 69.2996 0 0
1 0 0 0 0 0 0  0 0 0 24.5772 0 0
0 0 0 0 0 0 0  0 0 0 107 0 0
0 0 0 0 0 0 0  0 0 0 107 1 0
2 -10.9806 -11.5385 -20.211 -9.73449 0 0  0 0 0 74.8946 0 0
1 0 0 0 0 0 0  0 0 0 17.9204 0 0
0 0 0 0 0 0 0  0 0 0 107 1 0
2 -9.46986 -10.3103 -16.4362 -26.7992 -4.41018 0  0 0 0 87.2932 0 0
1 0 0 0 0 0 0  0 0 0 7.75554 0 0
0 0 0 0 0 0 0  0 0 0 107 1 0
2 0 0 0 0 0 0  0 0 0 80.983 0 0
1 0 0 0 0 0 0  0 0 0 17.0015 0 0
0 0 0 0 0 0 0  0 0 0 107 1 0
2 -10.007 -11.4894 -19.8147 -10.1028 0 0  0 0 0 73.9669 0 0
1 0 0 0 0 0 0  0 0 0 20.9785 0 0
0 0 0 0 0 0 0  0 0 0 107 1 0
2 -9.08206 -9.92251 -17.3434 -26.9744 -3.21803 0  0 0 0 86.8569 0 0
1 0 0 0 0 0 0  0 0 0 6.08181 0 0
0 0 0 0 0 0 0  0 0 0 107 1 0
2 -9.8607 -11.0509 -19.0684 -15.0703 0 0  0 0 0 76.5816 0 0
1 0 0 0 0 0 0  0 0 0 17.5366 0 0
0 0 0 0 0 0 0  0 0 0 107 1 0
2 -9.63665 -11.3235 -19.6442 -13.5702 0 0  0 0 0 75.7874 0 0
1 0 0 0 0 0 0  0 0 0 18.3446 0 0
0 0 0 0 0 0 0  0 0 0 107 1 0
2 0 0 0 0 0 0  0 0 0 82.8824 0 0
1 0 0 0 0 0 0  0 0 0 12.3168 0 0
0 0 0 0 0 0 0  0 0 0 107 1 0
2 -10.0339 -10.8626 -18.5957 -19.8431 0 0  0 0 0 80.5174 0 0
1 0 0 0 0 0 0  0 0 0 12.8111 0 0
0 0 0 0 0 0 0  0 0 0 107 1 0
2 -10.7456 -11.7927 -20.4513 -6.16504 0 0  0 0 0 71.8386 0 0
1 0 0 0 0 0 0  0 0 0 23.3578 0 0
0 0 0 0 0 0 0  0 0 0 107 1 0
2 -8.86514 -9.99193 -17.6667 -27.3077 -2.54322 0  0 0 0 86.8271 0 0
1 0 0 0 0 0 0  0 0 0 7.49046 0 0
0 0 0 0 0 0 0  0 0 0 107 1 0
2 -9.79266 -9.83597 -17.5428 -25.2751 -0.194698 0  0 0 0 83.0261 0 0
1 0 0 0 0 0 0  0 0 0 11.1333 0 0
0 0 0 0 0 0 0  0 0 0 107 1 0
2 -10.7931 -11.8423 -20.8184 -5.07212 0 0  0 0 0 71.0231 0 0
